2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[f31b64a7-9788-4a58-8ddc-f4cec8504b34] Server healthy check fail, currentConnection = 1708962986987_120.227.129.112_46758
2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[f31b64a7-9788-4a58-8ddc-f4cec8504b34] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[f31b64a7-9788-4a58-8ddc-f4cec8504b34] Success to connect a server [116.62.71.84:8848], connectionId = 1708963591342_120.227.129.112_46108
2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[f31b64a7-9788-4a58-8ddc-f4cec8504b34] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1708962986987_120.227.129.112_46758
2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1708962986987_120.227.129.112_46758
2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[f31b64a7-9788-4a58-8ddc-f4cec8504b34] Notify disconnected event to listeners
2024-02-27 00:06:31 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[f31b64a7-9788-4a58-8ddc-f4cec8504b34] Notify connected event to listeners.
2024-02-27 00:11:24 |INFO  |NettyClientPublicExecutor_4 |SendNoticeService.java:41 |ljl.service.send_notice.SendNoticeService |Message sent successfully: 
2024-02-27 00:11:24 |INFO  |NettyClientPublicExecutor_2 |SendDBChangeService.java:38 |ljl.service.send_notice.SendDBChangeService |Message sent successfully: 
2024-02-27 00:11:26 |INFO  |NettyClientPublicExecutor_4 |SendNoticeService.java:143 |ljl.service.send_notice.SendNoticeService |ok
2024-02-27 00:11:26 |INFO  |ConsumeMessageThread_2 |VideoEncodeConsumer.java:61 |ljl.consumer.video_encode.VideoEncodeConsumer |到了
2024-02-27 00:11:31 |INFO  |ConsumeMessageThread_2 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-27 00:11:31 |INFO  |ConsumeMessageThread_2 |VideoEncodeConsumer.java:63 |ljl.consumer.video_encode.VideoEncodeConsumer |结束了
2024-02-27 00:12:45 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[f31b64a7-9788-4a58-8ddc-f4cec8504b34] Server healthy check fail, currentConnection = 1708963591342_120.227.129.112_46108
