2024-02-07 00:02:22 |WARN  |nacos-grpc-client-executor-3277 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707234735857_120.227.130.72_2903]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:12:26 |WARN  |nacos-grpc-client-executor-3400 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707235343534_120.227.130.72_2358]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:22:31 |WARN  |nacos-grpc-client-executor-3522 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707235947596_120.227.130.72_2887]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:32:36 |WARN  |nacos-grpc-client-executor-3646 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707236552815_120.227.130.72_2388]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:42:42 |WARN  |nacos-grpc-client-executor-3769 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707237157614_120.227.130.72_2791]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 01:02:55 |WARN  |nacos-grpc-client-executor-4013 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707237763405_120.227.130.72_2290]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 01:13:00 |WARN  |nacos-grpc-client-executor-4138 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707238976699_120.227.130.72_2421]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 01:13:32 |WARN  |Thread-55 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-07 01:13:32 |WARN  |Thread-58 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-07 01:13:32 |WARN  |Thread-55 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-07 01:13:33 |WARN  |Thread-58 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-07 01:13:39 |WARN  |SpringApplicationShutdownHook |DisposableBeanAdapter.java:222 |org.springframework.beans.factory.support.DisposableBeanAdapter |Invocation of destroy method failed on bean with name 'rocketMQTemplate': java.lang.IllegalStateException: Shutdown in progress
2024-02-07 01:13:39 |WARN  |SpringApplicationShutdownHook |DisposableBeanAdapter.java:329 |org.springframework.beans.factory.support.DisposableBeanAdapter |Custom destroy method 'shutdown' on bean with name 'defaultMQProducer' threw an exception: java.lang.IllegalStateException: Shutdown in progress
2024-02-07 12:26:50 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.video.dynamic.DynamicToUser"
2024-02-07 12:26:57 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-07 14:50:01 |WARN  |Thread-42 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-07 14:50:01 |WARN  |Thread-46 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-07 14:50:02 |WARN  |Thread-42 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-07 14:50:02 |WARN  |Thread-46 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-07 14:50:07 |WARN  |SpringApplicationShutdownHook |DisposableBeanAdapter.java:222 |org.springframework.beans.factory.support.DisposableBeanAdapter |Invocation of destroy method failed on bean with name 'rocketMQTemplate': java.lang.IllegalStateException: Shutdown in progress
2024-02-07 14:50:07 |WARN  |SpringApplicationShutdownHook |DisposableBeanAdapter.java:329 |org.springframework.beans.factory.support.DisposableBeanAdapter |Custom destroy method 'shutdown' on bean with name 'defaultMQProducer' threw an exception: java.lang.IllegalStateException: Shutdown in progress
