2024-02-06 02:33:40 |WARN  |nacos-grpc-client-executor-3038 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707157415718_120.227.130.72_2820]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 02:41:33 |WARN  |Thread-31 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-06 02:41:33 |WARN  |Thread-31 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-06 02:41:33 |WARN  |Thread-34 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-06 02:41:33 |WARN  |Thread-34 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-06 16:12:54 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.video.dynamic.DynamicToUser"
2024-02-06 16:13:14 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-06 16:14:53 |WARN  |http-nio-10201-exec-1 |ServiceInstanceListSupplierBuilder.java:235 |org.springframework.cloud.loadbalancer.core.ServiceInstanceListSupplierBuilder |LoadBalancerCacheManager not available, returning delegate without caching.
2024-02-06 18:57:40 |WARN  |pool-2-thread-1 |ZipkinAutoConfiguration.java:165 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Check result of the [RestTemplateSender{http://114.55.116.140:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://114.55.116.140:9411/api/v2/spans": Read timed out; nested exception is java.net.SocketTimeoutException: Read timed out}]
2024-02-06 18:57:45 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.video.dynamic.DynamicToUser"
2024-02-06 18:57:56 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-06 19:00:40 |WARN  |http-nio-10201-exec-7 |ServiceInstanceListSupplierBuilder.java:235 |org.springframework.cloud.loadbalancer.core.ServiceInstanceListSupplierBuilder |LoadBalancerCacheManager not available, returning delegate without caching.
2024-02-06 19:17:57 |WARN  |nacos-grpc-client-executor-263 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707217074311_120.227.130.72_2054]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 19:28:02 |WARN  |nacos-grpc-client-executor-394 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707218277242_120.227.130.72_2305]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 19:38:07 |WARN  |nacos-grpc-client-executor-522 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707218882657_120.227.130.72_3020]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 19:58:16 |WARN  |nacos-grpc-client-executor-767 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707219487338_120.227.130.72_2521]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 20:08:32 |WARN  |nacos-grpc-client-executor-896 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707220696728_120.227.130.72_2857]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 20:18:37 |WARN  |nacos-grpc-client-executor-1021 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707221312388_120.227.130.72_2255]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 20:28:41 |WARN  |nacos-grpc-client-executor-1147 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707221917473_120.227.130.72_2663]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 20:38:46 |WARN  |nacos-grpc-client-executor-1275 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707222521627_120.227.130.72_2390]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 20:48:53 |WARN  |nacos-grpc-client-executor-1401 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707223126826_120.227.130.72_2567]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 20:58:58 |WARN  |nacos-grpc-client-executor-1533 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707223733644_120.227.130.72_2088]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 21:09:03 |WARN  |nacos-grpc-client-executor-1658 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707224338064_120.227.130.72_2476]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 21:19:18 |WARN  |nacos-grpc-client-executor-1791 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707224943182_120.227.130.72_2961]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 21:29:23 |WARN  |nacos-grpc-client-executor-1916 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707225558611_120.227.130.72_2215]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 21:39:29 |WARN  |nacos-grpc-client-executor-2043 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707226163762_120.227.130.72_2370]Ignore error event,isRunning:true,isAbandon=true
