2024-02-13 01:10:45 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-13 01:10:45 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.notice.dynamic.DynamicToUser"
2024-02-13 01:16:29 |WARN  |Thread-54 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-13 01:16:29 |WARN  |Thread-51 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-13 01:16:29 |WARN  |Thread-51 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-13 01:16:29 |WARN  |Thread-54 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-13 01:17:31 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-13 01:17:31 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.notice.dynamic.DynamicToUser"
2024-02-13 01:19:12 |WARN  |http-nio-10201-exec-3 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.web.HttpMediaTypeNotAcceptableException: Could not find acceptable representation]
2024-02-13 01:19:29 |WARN  |http-nio-10201-exec-4 |DirectJDKLog.java:173 |org.apache.catalina.connector.Request |Creating the temporary upload location [C:\Users\Administrator\AppData\Local\Temp\tomcat.10201.8691709132922421147\work\Tomcat\localhost\ROOT\path] as it is required by the servlet [dispatcherServlet]
2024-02-13 01:19:29 |WARN  |http-nio-10201-exec-4 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.web.HttpMediaTypeNotAcceptableException: Could not find acceptable representation]
2024-02-13 01:19:54 |WARN  |http-nio-10201-exec-7 |AbstractHandlerExceptionResolver.java:208 |org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver |Resolved [org.springframework.web.HttpMediaTypeNotAcceptableException: Could not find acceptable representation]
2024-02-13 01:21:56 |WARN  |Thread-34 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-13 01:21:56 |WARN  |Thread-31 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
