2024-03-01 02:54:35 |INFO  |main |StartupInfoLogger.java:55 |ljl.bilibili.ChatApplication |Starting ChatApplication using Java 1.8.0_65 on DESKTOP-4C1V07J with PID 8172 (E:\bilibili\chat\target\classes started by Administrator in E:\bilibili)
2024-03-01 02:54:35 |INFO  |main |SpringApplication.java:645 |ljl.bilibili.ChatApplication |No active profile set, falling back to 1 default profile: "default"
2024-03-01 02:54:39 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=c8a41d3c-6569-35d9-a2c0-b20b1166e125
2024-03-01 02:54:40 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 1688 (http)
2024-03-01 02:54:40 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-1688"]
2024-03-01 02:54:40 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-03-01 02:54:40 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-01 02:54:41 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-01 02:54:41 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 5536 ms
2024-03-01 02:54:43 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-01 02:54:45 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-01 02:54:47 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-01 02:54:50 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of e8ccf7a3-ad0f-4128-8381-0e4859461b28
2024-03-01 02:54:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 241 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-01 02:54:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 52 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-01 02:54:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 116 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-01 02:54:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 954 ms to scan 171 urls, producing 0 keys and 0 values 
2024-03-01 02:54:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 32 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-01 02:54:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 39 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-01 02:54:51 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 22 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-01 02:54:52 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 464 ms to scan 171 urls, producing 0 keys and 0 values 
2024-03-01 02:54:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-01 02:54:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-01 02:54:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-01 02:54:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-01 02:54:52 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-01 02:55:13 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-01 02:55:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1709232914020_120.227.129.112_47021
2024-03-01 02:55:14 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Notify connected event to listeners.
2024-03-01 02:55:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-01 02:55:14 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[e8ccf7a3-ad0f-4128-8381-0e4859461b28] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$797/608670733
2024-03-01 02:55:17 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-1688"]
2024-03-01 02:55:17 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 1688 (http) with context path ''
2024-03-01 02:55:17 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP chat 192.168.0.100:1688 register finished
2024-03-01 02:55:18 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-01 02:55:18 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-01 02:55:18 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-01 02:55:18 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.ChatApplication |Started ChatApplication in 45.149 seconds (JVM running for 54.506)
2024-03-01 02:59:12 |INFO  |http-nio-1688-exec-10 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-01 02:59:12 |INFO  |http-nio-1688-exec-10 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
