2024-02-06 02:33:39 |INFO  |com.alibaba.nacos.client.remote.worker |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-06 02:33:39 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[347853a2-a561-46f6-97fb-318ae0f9c04b] Server healthy check fail, currentConnection = 1707146077001_120.227.130.72_2832
2024-02-06 02:33:39 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[347853a2-a561-46f6-97fb-318ae0f9c04b] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-06 02:33:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[347853a2-a561-46f6-97fb-318ae0f9c04b] Success to connect a server [116.62.71.84:8848], connectionId = 1707158020542_120.227.130.72_2627
2024-02-06 02:33:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[347853a2-a561-46f6-97fb-318ae0f9c04b] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1707146077001_120.227.130.72_2832
2024-02-06 02:33:40 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1707146077001_120.227.130.72_2832
2024-02-06 02:33:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[347853a2-a561-46f6-97fb-318ae0f9c04b] Notify disconnected event to listeners
2024-02-06 02:33:40 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[347853a2-a561-46f6-97fb-318ae0f9c04b] Notify connected event to listeners.
2024-02-06 02:33:40 |WARN  |nacos-grpc-client-executor-2389 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707146077001_120.227.130.72_2832]Ignore error event,isRunning:true,isAbandon=true
2024-02-06 02:41:32 |INFO  |Thread-33 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-06 02:41:32 |WARN  |Thread-33 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-06 02:41:32 |WARN  |Thread-36 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-06 02:41:32 |WARN  |Thread-33 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-06 02:41:32 |WARN  |Thread-36 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
