2024-02-22 02:03:51 |INFO  |com.alibaba.nacos.client.remote.worker |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-22 02:03:51 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a618f25f-e2d1-4dd6-ad0f-5fadebe50e68] Server healthy check fail, currentConnection = 1708531052220_120.227.129.112_46723
2024-02-22 02:03:51 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a618f25f-e2d1-4dd6-ad0f-5fadebe50e68] Try to reconnect to a new server, server is  not appointed, will choose a random server.
2024-02-22 02:03:52 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a618f25f-e2d1-4dd6-ad0f-5fadebe50e68] Success to connect a server [116.62.71.84:8848], connectionId = 1708538632857_120.227.129.112_46787
2024-02-22 02:03:52 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a618f25f-e2d1-4dd6-ad0f-5fadebe50e68] Abandon prev connection, server is 116.62.71.84:8848, connectionId is 1708531052220_120.227.129.112_46723
2024-02-22 02:03:52 |INFO  |com.alibaba.nacos.client.remote.worker |RpcClient.java:591 |com.alibaba.nacos.common.remote.client |Close current connection 1708531052220_120.227.129.112_46723
2024-02-22 02:03:52 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a618f25f-e2d1-4dd6-ad0f-5fadebe50e68] Notify disconnected event to listeners
2024-02-22 02:03:52 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a618f25f-e2d1-4dd6-ad0f-5fadebe50e68] Notify connected event to listeners.
2024-02-22 02:15:56 |INFO  |Thread-43 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-22 02:15:56 |INFO  |Thread-46 |TimeBasedFilter.java:24 |ljl.filter.TimeBasedFilter |






2024-02-22 02:15:56 |INFO  |Thread-23 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
2024-02-22 02:15:58 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2024-02-22 02:15:58 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2024-02-22 02:15:58 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2063 |com.alibaba.druid.pool.DruidDataSource |{dataSource-0} closing ...
2024-02-22 21:34:38 |INFO  |main |StartupInfoLogger.java:55 |ljl.user_center.CenterEditApplication |Starting CenterEditApplication using Java 1.8.0_65 on DESKTOP-4C1V07J with PID 2940 (E:\bilibili\user_center\target\classes started by Administrator in E:\bilibili)
