2024-02-07 00:02:20 |WARN  |nacos-grpc-client-executor-3358 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707234736259_120.227.130.72_2904]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:12:26 |WARN  |nacos-grpc-client-executor-3487 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707235341890_120.227.130.72_2353]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:22:32 |WARN  |nacos-grpc-client-executor-3615 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707235947474_120.227.130.72_2886]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:32:37 |WARN  |nacos-grpc-client-executor-3746 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707236553207_120.227.130.72_2392]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:42:42 |WARN  |nacos-grpc-client-executor-3872 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707237158687_120.227.130.72_2793]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 00:52:48 |WARN  |nacos-grpc-client-executor-3999 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707237763723_120.227.130.72_2292]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 01:12:59 |WARN  |nacos-grpc-client-executor-4251 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707238369513_120.227.130.72_2901]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 01:13:33 |WARN  |Thread-58 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-07 01:13:33 |WARN  |Thread-54 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-07 01:13:33 |WARN  |Thread-54 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-07 01:13:33 |WARN  |Thread-58 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-07 12:29:10 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.video.dynamic.DynamicToUser"
2024-02-07 12:29:16 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-07 12:48:54 |WARN  |Thread-34 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-07 12:48:54 |WARN  |Thread-34 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-07 12:48:54 |WARN  |Thread-37 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-07 12:48:54 |WARN  |Thread-37 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-07 12:49:16 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.video.dynamic.DynamicToUser"
2024-02-07 12:49:23 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-07 13:26:37 |WARN  |Thread-29 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-07 13:26:37 |WARN  |Thread-32 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-07 13:26:37 |WARN  |Thread-29 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-07 13:26:37 |WARN  |Thread-32 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-07 13:27:37 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.video.dynamic.DynamicToUser"
2024-02-07 13:28:04 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-07 14:50:02 |WARN  |Thread-70 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-02-07 14:50:02 |WARN  |Thread-73 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-02-07 14:50:03 |WARN  |Thread-70 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-02-07 14:50:03 |WARN  |Thread-73 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-02-07 17:11:40 |WARN  |main |TableInfoHelper.java:423 |com.baomidou.mybatisplus.core.metadata.TableInfoHelper |This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "ljl.entity.video.dynamic.DynamicToUser"
2024-02-07 17:11:53 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-02-07 17:16:10 |WARN  |nacos-grpc-client-executor-56 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707297110972_120.227.129.112_46509]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 17:26:17 |WARN  |nacos-grpc-client-executor-180 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707297370138_120.227.129.112_46928]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 17:50:20 |WARN  |nacos-grpc-client-executor-467 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707297977268_120.227.129.112_46550]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 18:00:25 |WARN  |nacos-grpc-client-executor-590 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707299420231_120.227.129.112_46935]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 18:10:29 |WARN  |nacos-grpc-client-executor-713 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707300025081_120.227.129.112_46335]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 18:37:03 |WARN  |nacos-grpc-client-executor-787 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707300629971_120.227.129.112_46816]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 20:10:40 |WARN  |nacos-grpc-client-executor-1901 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707302223512_120.227.129.112_46457]Ignore error event,isRunning:false,isAbandon=true
2024-02-07 20:25:30 |WARN  |nacos-grpc-client-executor-2084 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707307840191_120.227.129.112_46902]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 20:35:35 |WARN  |nacos-grpc-client-executor-2206 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707308731101_120.227.129.112_46441]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 21:05:49 |WARN  |nacos-grpc-client-executor-2571 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707309335605_120.227.129.112_46647]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 21:15:53 |WARN  |nacos-grpc-client-executor-2694 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707311150032_120.227.129.112_46878]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 21:28:53 |WARN  |nacos-grpc-client-executor-2759 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707311754365_120.227.129.112_46287]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 21:37:32 |WARN  |nacos-grpc-client-executor-2865 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707312534217_120.227.129.112_46854]Ignore error event,isRunning:true,isAbandon=true
2024-02-07 23:21:16 |WARN  |nacos-grpc-client-executor-4104 |LoggerUtils.java:86 |com.alibaba.nacos.common.remote.client.grpc.GrpcClient |[1707313053294_120.227.129.112_46584]Ignore error event,isRunning:true,isAbandon=true
