2024-03-26 11:59:45 |INFO  |main |StartupInfoLogger.java:55 |ljl.bilibili.user_center.CenterEditApplication |Starting CenterEditApplication using Java 1.8.0_65 on DESKTOP-4C1V07J with PID 13300 (E:\bilibili\user_center\target\classes started by Administrator in E:\bilibili)
2024-03-26 11:59:46 |INFO  |main |SpringApplication.java:645 |ljl.bilibili.user_center.CenterEditApplication |No active profile set, falling back to 1 default profile: "default"
2024-03-26 11:59:50 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=1d3c00c5-baaf-30b0-813c-97d4c3992ba0
2024-03-26 11:59:52 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 3000 (http)
2024-03-26 11:59:52 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-3000"]
2024-03-26 11:59:52 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-03-26 11:59:52 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-26 11:59:52 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-26 11:59:52 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 6413 ms
2024-03-26 11:59:53 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-26 11:59:54 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-26 11:59:57 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-26 11:59:58 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of a99c5ac6-4c07-4191-981e-3232565fdb12
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 64 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 23 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 13 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 259 ms to scan 199 urls, producing 0 keys and 0 values 
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 19 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 18 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 21 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-26 11:59:59 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 225 ms to scan 199 urls, producing 0 keys and 0 values 
2024-03-26 11:59:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-26 11:59:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-26 11:59:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-26 11:59:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-26 11:59:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-26 12:00:02 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1711425601269_120.227.131.99_45384
2024-03-26 12:00:02 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] Notify connected event to listeners.
2024-03-26 12:00:02 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-26 12:00:02 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[a99c5ac6-4c07-4191-981e-3232565fdb12] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$858/1632419524
2024-03-26 12:00:04 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-3000"]
2024-03-26 12:00:04 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 3000 (http) with context path ''
2024-03-26 12:00:04 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP user-center 192.168.10.5:3000 register finished
2024-03-26 12:00:05 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-26 12:00:05 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-26 12:00:05 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-26 12:00:05 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.user_center.CenterEditApplication |Started CenterEditApplication in 21.718 seconds (JVM running for 24.693)
2024-03-26 12:00:29 |INFO  |http-nio-3000-exec-2 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-26 12:00:29 |INFO  |http-nio-3000-exec-2 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-26 12:00:29 |INFO  |http-nio-3000-exec-2 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 3 ms
2024-03-26 12:00:52 |INFO  |Thread-20 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
2024-03-26 12:00:52 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2024-03-26 12:00:52 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2024-03-26 12:00:53 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2063 |com.alibaba.druid.pool.DruidDataSource |{dataSource-0} closing ...
2024-03-26 12:01:04 |INFO  |main |StartupInfoLogger.java:55 |ljl.bilibili.user_center.CenterEditApplication |Starting CenterEditApplication using Java 1.8.0_65 on DESKTOP-4C1V07J with PID 1944 (E:\bilibili\user_center\target\classes started by Administrator in E:\bilibili)
